tweet_id,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,dog_group
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,Welsh springer spaniel,0.465074,True,Collie,0.156665,True,Shetland sheepdog,0.0614285,True,2282.0,419.0,,,,,,,,,,,,,
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,Redbone,0.506826,True,Miniature pinscher,0.0741916999999999,True,Rhodesian ridgeback,0.07201,True,112.0,39.0,,,,,,,,,,,,,
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,German shepherd,0.596461,True,Malinois,0.1385839999999999,True,Bloodhound,0.116197,True,100.0,36.0,,,,,,,,,,,,,
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,Rhodesian ridgeback,0.408143,True,Redbone,0.360687,True,Miniature pinscher,0.222752,True,246.0,115.0,,,,,,,,,,,,,
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,Miniature pinscher,0.560311,True,Rottweiler,0.243682,True,Doberman,0.154629,True,88.0,36.0,,,,,,,,,,,,,
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,Bernese mountain dog,0.651137,True,English springer,0.263788,True,Greater swiss mountain dog,0.0161992,True,115.0,50.0,,,,,,,,,,,,,
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,Box turtle,0.933012,False,Mud turtle,0.0458854,False,Terrapin,0.0178852999999999,False,1023.0,698.0,,,,,,,,,,,,,
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,Chow,0.692517,True,Tibetan mastiff,0.0582793999999999,True,Fur coat,0.0544486,False,366.0,196.0,,,,,,,,,,,,,
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,Shopping cart,0.962465,False,Shopping basket,0.0145937999999999,False,Golden retriever,0.00795896,True,247.0,111.0,,,,,,,,,,,,,
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,Miniature poodle,0.201493,True,Komondor,0.192305,True,Soft-coated wheaten terrier,0.0820861,True,99.0,47.0,,,,,,,,,,,,,
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,Golden retriever,0.77593,True,Tibetan mastiff,0.0937178,True,Labrador retriever,0.0724266,True,395.0,180.0,,,,,,,,,,,,,
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Gordon setter,0.503672,True,Yorkshire terrier,0.174201,True,Pekinese,0.109454,True,127.0,50.0,,,,,,,,,,,,,
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,Walker hound,0.260857,True,English foxhound,0.1753819999999999,True,Ibizan hound,0.0974705,True,273.0,129.0,,,,,,,,,,,,,
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1,Pug,0.489814,True,Bull mastiff,0.4047219999999999,True,French bulldog,0.0489595,True,92.0,37.0,,,,,,,,,,,,,
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1,Bloodhound,0.195217,True,German shepherd,0.0782598,True,Malinois,0.0756278,True,141.0,63.0,,,,,,,,,,,,,
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,Lhasa,0.58233,True,Shih-tzu,0.166192,True,Dandie dinmont,0.0896883,True,134.0,53.0,,,,,,,,,,,,,
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,English setter,0.298617,True,Newfoundland,0.149842,True,Borzoi,0.133649,True,66.0,11.0,,,,,,,,,,,,,
666104133288665088,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1,Hen,0.965932,False,Cock,0.0339194,False,Partridge,5.20658e-05,False,12839.0,5452.0,,,,,,,,,,,,,
666268910803644416,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,1,Desktop computer,0.086502,False,Desk,0.0855474,False,Bookcase,0.0794797,False,99.0,38.0,,,,,,,,,,,,,
666273097616637952,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,1,Italian greyhound,0.176053,True,Toy terrier,0.111884,True,Basenji,0.111152,True,151.0,66.0,,,,,,,,,,,,,
666287406224695296,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1,Maltese dog,0.8575309999999999,True,Toy poodle,0.0630638,True,Miniature poodle,0.0255806,True,123.0,55.0,,,,,,,,,,,,,
666293911632134144,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,1,Three-toed sloth,0.914671,False,Otter,0.01525,False,Great grey owl,0.0132072,False,425.0,288.0,,,,,,,,,,,,,
666337882303524864,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1,Ox,0.4166689999999999,False,Newfoundland,0.278407,True,Groenendael,0.102643,True,168.0,79.0,,,,,,,,,,,,,
666345417576210432,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,1,Golden retriever,0.8587440000000001,True,Chesapeake bay retriever,0.0547868,True,Labrador retriever,0.0142408999999999,True,242.0,121.0,,,,,,,,,,,,,
